factor1,species,global.leaf.n
A.Tree,Erythrina caffra,59.5
A.Tree,Cladostemon kirkii,59
A.Tree,Erythrina poeppigiana,50.8
A.Tree,Erythrophleum lasianthum,48.6
A.Tree,Dalbergia armata,47.6
A.Tree,Wrightia natalensis,47
A.Tree,Calodendrum capense,45.4
A.Tree,Eleagnus angustifolia,39.8
A.Tree,Balanites maughamii,39.2
A.Tree,Albizia adinathifolia,38
A.Tree,Leucaena leucocephala,37.1
A.Tree,Teclea natalensis,37.1
A.Tree,Gliricidia sepium,37
A.Tree,Trema micrantheum,36.3
A.Tree,Robinia pseudoacacia,35.7
A.Tree,Celtis africana,35
A.Tree,Kiggelaria africana,35
A.Tree,Dialium schlechteri,32.8
A.Tree,Inga edulis,32.3
A.Tree,Trema orientalis,32
A.Tree,Albizia lebbeck,31.7
A.Tree,Inga thibaudiana,31.7
A.Tree,Rothmannia globosa,31.7
A.Tree,Casurina sp.,31.6
A.Tree,Acrocarpus fraxinifolius,31
A.Tree,Funtumia africana,31
A.Tree,Tilia platyphyllos,31
A.Tree,Ulmus parvifolia,30.8
A.Tree,Sclerolobium melinonii,30.6
A.Tree,Alnus incana,30.3
A.Tree,Vepris undulata,30.3
A.Tree,Inga pezizifera,30.1
A.Tree,Prosopis juliflora,30.1
A.Tree,Dovyalis longispina,30
A.Tree,Afzelia africana,29.9
A.Tree,Zygia racemosa,29.7
A.Tree,Citrus sp.,29.5
A.Tree,Cordia alliodora,29.3
A.Tree,Musa ornata,29.2
A.Tree,Olinia ventosa,29.2
A.Tree,Alnus rubra,29
A.Tree,Clausena anisata,28.9
A.Tree,Sophora chrysophylla,28.9
A.Tree,Chlorophora regia,28.8
A.Tree,Albizia chinensis,28.7
A.Tree,Alangium villosum,28.6
A.Tree,Strychnos decussata,28.5
A.Tree,Cruduia bracteata,28.2
A.Tree,Inga laurina,28.2
A.Tree,Sclerolobium albiflorum,28
A.Tree,Crudia aromatica,27.7
A.Tree,Fraxinus angustifolia,27.5
A.Tree,Paramachaerium ormosioides,27.4
A.Tree,Quercus humilis,27.3
A.Tree,Alexa wachenheimii,27.2
A.Tree,Pollalesta discolor,27.2
A.Tree,Swartzia arborescens,27.1
A.Tree,Betula pendula,27
A.Tree,Inga densiflora,27
A.Tree,Rhus chirendensis,27
A.Tree,Guarea guidonia,26.9
A.Tree,Inga rubiginosa,26.8
A.Tree,Palicourea riparia,26.8
A.Tree,Turpinia occidentalis,26.8
A.Tree,Guapira obtusata,26.7
A.Tree,Acacia koa,26.6
A.Tree,Cola greenwayi,26.5
A.Tree,Inga cinnamomea,26.5
A.Tree,Calliandra calothyrsus,26
A.Tree,Ficus carica,26
A.Tree,Flemingia congesta,26
A.Tree,Nothofagus obliqua,26
A.Tree,Suregada zanzibariensis,26
A.Tree,Zanthoxylum capense,26
A.Tree,Eucalyptus grandis,25.9
A.Tree,Inga acrocephala,25.9
A.Tree,Inga sarmentosa,25.9
A.Tree,Quercus sp.,25.9
A.Tree,Acer negundo,25.8
A.Tree,Inga alba,25.8
A.Tree,Celtis occidentalis,25.7
A.Tree,Bequaertiodendron natalense,25.6
A.Tree,Betula lenta,25.6
A.Tree,Cedrela odorata,25.6
A.Tree,Betula pubescens,25.5
A.Tree,Parkia sp.,25.5
A.Tree,Swartzia guianensis,25.5
A.Tree,Tilia americana,25.5
A.Tree,Plumeria rubra,25.4
